m,delta,f,iter
5.0,0.1,0.1,55.0
5.0,0.11,0.1,54.0
5.0,0.12,0.1,53.0
5.0,0.13,0.1,52.0
5.0,0.13999999999999999,0.1,51.0
5.0,0.14999999999999997,0.1,50.0
5.0,0.15999999999999998,0.1,49.0
5.0,0.16999999999999998,0.1,48.0
5.0,0.17999999999999997,0.1,47.0
5.0,0.18999999999999995,0.1,46.0
5.0,0.19999999999999996,0.1,45.0
5.0,0.20999999999999996,0.1,44.0
5.0,0.21999999999999995,0.1,43.0
5.0,0.22999999999999995,0.1,42.0
5.0,0.23999999999999994,0.1,41.0
5.0,0.24999999999999992,0.1,40.0
5.0,0.2599999999999999,0.1,39.0
5.0,0.2699999999999999,0.1,38.0
5.0,0.2799999999999999,0.1,37.0
5.0,0.2899999999999999,0.1,36.0
5.0,0.29999999999999993,0.1,35.0
5.0,0.30999999999999994,0.1,34.0
5.0,0.3199999999999999,0.1,33.0
5.0,0.32999999999999985,0.1,32.0
5.0,0.33999999999999986,0.1,31.0
5.0,0.34999999999999987,0.1,30.0
5.0,0.3599999999999999,0.1,29.0
5.0,0.3699999999999999,0.1,28.0
5.0,0.3799999999999999,0.1,27.0
5.0,0.3899999999999999,0.1,26.0
5.0,0.3999999999999998,0.1,25.0
5.0,0.4099999999999998,0.1,24.0
5.0,0.4199999999999998,0.1,23.0
5.0,0.4299999999999998,0.1,22.0
5.0,0.43999999999999984,0.1,21.0
5.0,0.44999999999999984,0.1,20.0
5.0,0.45999999999999985,0.1,19.0
5.0,0.46999999999999986,0.1,18.0
5.0,0.47999999999999976,0.1,17.0
5.0,0.48999999999999977,0.1,16.0
5.0,0.4999999999999998,0.1,15.0
5.0,0.5099999999999998,0.1,14.0
5.0,0.5199999999999998,0.1,13.0
5.0,0.5299999999999998,0.1,12.0
5.0,0.5399999999999998,0.1,11.0
5.0,0.5499999999999998,0.1,10.0
5.0,0.5599999999999997,0.1,9.0
5.0,0.5699999999999997,0.1,8.0
5.0,0.5799999999999997,0.1,7.0
5.0,0.5899999999999997,0.1,6.0
5.0,0.5999999999999998,0.1,5.0
5.0,0.6099999999999998,0.1,4.0
5.0,0.6199999999999998,0.1,3.0
5.0,0.6299999999999997,0.1,2.0
5.0,0.6399999999999997,0.1,1.0
5.0,0.6499999999999997,0.1,0.0
5.0,0.1,0.3,52.0
5.0,0.11,0.3,51.0
5.0,0.12,0.3,50.0
5.0,0.13,0.3,49.0
5.0,0.13999999999999999,0.3,48.0
5.0,0.14999999999999997,0.3,47.0
5.0,0.15999999999999998,0.3,46.0
5.0,0.16999999999999998,0.3,45.0
5.0,0.17999999999999997,0.3,44.0
5.0,0.18999999999999995,0.3,43.0
5.0,0.19999999999999996,0.3,42.0
5.0,0.20999999999999996,0.3,41.0
5.0,0.21999999999999995,0.3,40.0
5.0,0.22999999999999995,0.3,39.0
5.0,0.23999999999999994,0.3,38.0
5.0,0.24999999999999992,0.3,37.0
5.0,0.2599999999999999,0.3,36.0
5.0,0.2699999999999999,0.3,35.0
5.0,0.2799999999999999,0.3,34.0
5.0,0.2899999999999999,0.3,33.0
5.0,0.29999999999999993,0.3,32.0
5.0,0.30999999999999994,0.3,31.0
5.0,0.3199999999999999,0.3,30.0
5.0,0.32999999999999985,0.3,29.0
5.0,0.33999999999999986,0.3,28.0
5.0,0.34999999999999987,0.3,27.0
5.0,0.3599999999999999,0.3,26.0
5.0,0.3699999999999999,0.3,25.0
5.0,0.3799999999999999,0.3,24.0
5.0,0.3899999999999999,0.3,23.0
5.0,0.3999999999999998,0.3,22.0
5.0,0.4099999999999998,0.3,21.0
5.0,0.4199999999999998,0.3,20.0
5.0,0.4299999999999998,0.3,19.0
5.0,0.43999999999999984,0.3,18.0
5.0,0.44999999999999984,0.3,17.0
5.0,0.45999999999999985,0.3,16.0
5.0,0.46999999999999986,0.3,15.0
5.0,0.47999999999999976,0.3,14.0
5.0,0.48999999999999977,0.3,13.0
5.0,0.4999999999999998,0.3,12.0
5.0,0.5099999999999998,0.3,11.0
5.0,0.5199999999999998,0.3,10.0
5.0,0.5299999999999998,0.3,9.0
5.0,0.5399999999999998,0.3,8.0
5.0,0.5499999999999998,0.3,7.0
5.0,0.5599999999999997,0.3,6.0
5.0,0.5699999999999997,0.3,5.0
5.0,0.5799999999999997,0.3,4.0
5.0,0.5899999999999997,0.3,3.0
5.0,0.5999999999999998,0.3,2.0
5.0,0.6099999999999998,0.3,1.0
5.0,0.6199999999999998,0.3,0.0
5.0,0.1,0.5,47.0
5.0,0.11,0.5,46.0
